"curve","year","ind","values","area_km","area_km_e","archipelago"
10,-121000,"AP0000069",1403958800.42002,1403.95880042002,225180.596337799,"Seychelles_Inner"
10,-122000,"AP0000069",1403958800.42002,1403.95880042002,225180.596337799,"Seychelles_Inner"
10,-123000,"AP0000069",1403958800.42002,1403.95880042002,225180.596337799,"Seychelles_Inner"
9,-124000,"AP0000068",1473988398.79852,1473.98839879852,225180.596337799,"Seychelles_Inner"
9,-125000,"AP0000068",1473988398.79852,1473.98839879852,225180.596337799,"Seychelles_Inner"
10,-126000,"AP0000069",1403958800.42002,1403.95880042002,225180.596337799,"Seychelles_Inner"
12,-127000,"AP0000070",1276681109.35673,1276.68110935673,225180.596337799,"Seychelles_Inner"
10,-128000,"AP0000069",1403958800.42002,1403.95880042002,225180.596337799,"Seychelles_Inner"
-3,-129000,"AP0000003",3952594373.46407,3952.59437346407,225180.596337799,"Seychelles_Inner"
-27,-130000,"AP0000063",11665142247.7807,11665.1422477807,225180.596337799,"Seychelles_Inner"
-28,-131000,"AP0000071",12194743476.8443,12194.7434768443,225180.596337799,"Seychelles_Inner"
-26,-132000,"AP0000047",11151961800.3246,11151.9618003246,225180.596337799,"Seychelles_Inner"
-24,-133000,"AP0000006",10253924109.4894,10253.9241094894,225180.596337799,"Seychelles_Inner"
-22,-134000,"AP0000072",9252097744.0046,9252.0977440046,225180.596337799,"Seychelles_Inner"
-20,-135000,"AP0000040",8462789775.88438,8462.78977588438,225180.596337799,"Seychelles_Inner"
-18,-136000,"AP0000073",7648137338.90012,7648.13733890012,225180.596337799,"Seychelles_Inner"
-19,-137000,"AP0000046",8054235577.82928,8054.23557782928,225180.596337799,"Seychelles_Inner"
-22,-138000,"AP0000072",9252097744.0046,9252.0977440046,225180.596337799,"Seychelles_Inner"
-28,-139000,"AP0000071",12194743476.8443,12194.7434768443,225180.596337799,"Seychelles_Inner"
-44,-140000,"AP0000074",25824378150.4219,25824.3781504219,225180.596337799,"Seychelles_Inner"
0,0,"AP0000000",1689493530.77622,1689.49353077622,166776.173129172,"Society"
-1,-1000,"AP0000001",1788558470.82738,1788.55847082738,166776.173129172,"Society"
-2,-2000,"AP0000002",1815166499.92208,1815.16649992208,166776.173129172,"Society"
-3,-3000,"AP0000003",1837267139.89259,1837.26713989259,166776.173129172,"Society"
-3,-4000,"AP0000003",1837267139.89259,1837.26713989259,166776.173129172,"Society"
-3,-5000,"AP0000003",1837267139.89259,1837.26713989259,166776.173129172,"Society"
-4,-6000,"AP0000004",1859572825.65314,1859.57282565314,166776.173129172,"Society"
-4,-7000,"AP0000004",1859572825.65314,1859.57282565314,166776.173129172,"Society"
-11,-8000,"AP0000005",1992581550.6666,1992.5815506666,166776.173129172,"Society"
-24,-9000,"AP0000006",2148719080.82519,2148.71908082519,166776.173129172,"Society"
-38,-10000,"AP0000007",2250754802.04695,2250.75480204695,166776.173129172,"Society"
-52,-11000,"AP0000008",2329539465.82764,2329.53946582764,166776.173129172,"Society"
-65,-12000,"AP0000009",2376389680.42663,2376.38968042663,166776.173129172,"Society"
-76,-13000,"AP0000010",2414237573.67727,2414.23757367727,166776.173129172,"Society"
-85,-14000,"AP0000011",2441246482.25192,2441.24648225192,166776.173129172,"Society"
-93,-15000,"AP0000012",2464984416.35237,2464.98441635237,166776.173129172,"Society"
-102,-16000,"AP0000013",2492398518.30959,2492.39851830959,166776.173129172,"Society"
-109,-17000,"AP0000014",2509571817.18233,2509.57181718233,166776.173129172,"Society"
-116,-18000,"AP0000015",2527778603.71287,2527.77860371287,166776.173129172,"Society"
-121,-19000,"AP0000016",2540650158.96004,2540.65015896004,166776.173129172,"Society"
-123,-20000,"AP0000017",2546575244.00625,2546.57524400625,166776.173129172,"Society"
-122,-21000,"AP0000018",2544120663.72742,2544.12066372742,166776.173129172,"Society"
